,FIPS,Years of Potential Life Lost Rate,YPLL Rate (Black),YPLL Rate (Hispanic),YPLL Rate (White),% Fair/Poor,Physically Unhealthy Days,Mentally Unhealthy Days,% LBW,% LBW (Black),% LBW (Hispanic),% LBW (White),% Smokers,% Obese,Food Environment Index,% Physically Inactive,% With Access,% Excessive Drinking,# Alcohol-Impaired Driving Deaths,# Driving Deaths,% Alcohol-Impaired,# Chlamydia Cases,Chlamydia Rate,Teen Birth Rate,Teen Birth Rate (Black),Teen Birth Rate (Hispanic),Teen Birth Rate (White),# Uninsured,% Uninsured,# Primary Care Physicians,PCP Rate,# Dentists,Dentist Rate,# Mental Health Providers,MHP Rate,Preventable Hosp. Rate,Preventable Hosp. Rate (Black),Preventable Hosp. Rate (Hispanic),Preventable Hosp. Rate (White),% Screened,% Screened (Black),% Screened (Hispanic),% Screened (White),% Vaccinated,% Vaccinated (Black),% Vaccinated (Hispanic),% Vaccinated (White),Cohort Size,Graduation Rate,# Some College,Population,% Some College,# Unemployed,Labor Force,% Unemployed,% Children in Poverty,% Children in Poverty (Black),% Children in Poverty (Hispanic),% Children in Poverty (White),80th Percentile Income,20th Percentile Income,Income Ratio,# Single-Parent Households,# Households,% Single-Parent Households,# Associations,Association Rate,Annual Average Violent Crimes,Violent Crime Rate,# Injury Deaths,Injury Death Rate,Average Daily PM2.5,% Severe Housing Problems,Severe Housing Cost Burden,Overcrowding,Inadequate Facilities,% Drive Alone,% Drive Alone (Black),% Drive Alone (Hispanic),% Drive Alone (White),# Workers who Drive Alone,% Long Commute - Drives Alone,Life Expectancy,Life Expectancy (Black),Life Expectancy (Hispanic),Life Expectancy (White),# Deaths,Age-Adjusted Mortality,Age-Adjusted Mortality (Black),Age-Adjusted Mortality (Hispanic),Age-Adjusted Mortality (White),# Deaths.1,Child Mortality Rate,Child Mortality Rate (Black),Child Mortality Rate (Hispanic),Child Mortality Rate (White),# Deaths.2,Infant Mortality Rate,Infant Mortality Rate (Black),Infant Mortality Rate (Hispanic),Infant Mortality Rate (White),% Frequent Physical Distress,% Frequent Mental Distress,% Diabetic,# HIV Cases,HIV Prevalence Rate,# Food Insecure,% Food Insecure,# Limited Access,% Limited Access,# Drug Overdose Deaths,Drug Overdose Mortality Rate,# Motor Vehicle Deaths,MV Mortality Rate,% Insufficient Sleep,# Uninsured.1,% Uninsured.1,Other PCP Rate,% Disconnected Youth,Household Income,Household income (Black),Household income (Hispanic),Household income (White),% Free or Reduced Lunch,Segregation index,Segregation Index,Homicide Rate,# Firearm Fatalities,Firearm Fatalities Rate,# Homeowners,% Homeowners,# Households with Severe Cost Burden,% Severe Housing Cost Burden,% < 18,% 65 and over,# African American,% African American,# American Indian/Alaskan Native,% American Indian/Alaskan Native,# Asian,% Asian,# Native Hawaiian/Other Pacific Islander,% Native Hawaiian/Other Pacific Islander,# Hispanic,% Hispanic,# Non-Hispanic White,% Non-Hispanic White,# Not Proficient in English,% Not Proficient in English,% Female,# Rural,% Rural
Other PCP Rate,0.023724215,-0.09401402,-0.054356492,-0.10712191,-0.118248242,0.127136123,0.124811858,0.096584089,0.143905292,-0.108652739,0.135334968,-0.006675401,0.017498061,0.069713868,0.006519868,-0.068938896,0.327307306,-0.071252322,0.182896986,0.205954936,0.080950866,0.267959466,0.263591821,0.03664632,0.031642682,0.123783906,-0.071830094,0.220907125,-0.088136668,0.304135436,0.405548427,0.289418058,0.366838556,0.36092054,0.460834738,0.000333325,-0.000457881,-0.003068029,-0.110742768,0.100434878,0.258787724,0.134248812,0.134526746,0.036021412,0.116983886,0.087452123,0.137481819,0.322061204,-0.189933567,0.222826135,0.224863863,0.137500867,0.209211552,0.220894559,-0.045978079,0.036081071,-0.044005532,-0.028433818,-0.052534391,-0.080919398,-0.021457101,-0.027095565,0.234343159,0.224700878,0.135208862,0.2601136,-0.001666248,0.269459488,0.191408053,0.211851348,-0.189159791,0.0414645,0.187890617,0.264833127,0.031307105,-0.127120764,0.069058651,-0.074238162,0.133155243,0.157435275,0.222176446,-0.228245977,0.05903553,0.035569242,-0.012883497,0.086885398,0.177997113,-0.052831254,-0.024014566,-0.103206471,-0.103573564,0.475577331,-0.119205802,-0.008797654,0.258163265,-0.000341501,0.49195701,0.031247234,0.367532468,0.534975369,0.351906158,0.135523299,0.113157108,-0.057365859,0.34389314,0.131247081,0.21440222,-0.002155559,0.240792957,-0.002076334,0.508954629,-0.151709557,0.263703345,-0.293453524,0.141788709,0.21683757,-0.168817033,1,-0.353766523,-0.04451628,0.040421394,-0.05022058,0.016178931,0.021296115,0.101519188,0.145682764,-0.042623052,0.417455535,-0.283469139,0.214739143,-0.290327502,0.225223549,0.225994079,0.051890574,-0.104701914,0.185023986,0.065804305,0.24780582,0.025284353,0.258231073,0.352573766,0.245166947,0.155603294,0.252944928,0.0763144,0.209909103,-0.119762995,0.210032148,0.024108242,0.162410567,0.121285062,-0.287473972
Average Daily PM2.5,-0.007689117,-0.082277009,-0.363871098,-0.55014543,-0.288552552,-0.260940517,-0.130653812,0.038499078,0.008528589,-0.071504153,-0.347659954,-0.159058084,0.0731296,0.251674395,-0.14249746,0.188159148,0.010820962,0.138038472,0.685621862,0.696356267,0.166304933,0.672590466,0.153875478,-0.407564188,-0.490397929,-0.495445997,-0.334573165,0.725568855,-0.394997956,0.645196293,0.162451775,0.706212779,0.449740077,0.611270257,0.295394849,0.126539296,0.059742305,-0.078795618,0.062081007,0.472613719,0.28794045,0.321248443,0.456832932,0.586651519,0.372144382,0.531645688,0.577577557,0.610216378,-0.257338996,0.733979223,0.725232838,0.25349797,0.763030931,0.749074726,0.203966234,-0.19258558,-0.239762766,0.065186458,-0.099507793,0.240013162,0.11404867,0.077226408,0.727944916,0.725075814,0.089282719,0.70766894,-0.460920444,0.689960309,0.256524837,0.730191949,-0.266866749,1,0.392070139,0.545960964,0.029717129,0.014747102,0.22942565,0.081672711,0.049817628,-0.068676564,0.747875304,0.527651978,0.005839533,0.230108734,0.482072338,0.268713839,0.778365366,-0.054811248,-0.443299017,-0.587234828,-0.281200694,0.483663916,-0.214713351,-0.489527529,-0.468183093,-0.221352866,0.32144917,-0.120711768,-0.492832975,-0.386667845,-0.317289165,-0.154826885,-0.031078147,0.133661869,0.663758956,0.396410667,0.796933089,0.483282181,0.598903779,-0.198583317,0.379936435,-0.31088821,0.657276004,-0.359834383,0.168716171,0.704775835,-0.510681675,0.0414645,-0.435815383,0.264270868,0.243767699,0.163478466,0.185131698,-0.089632804,-0.011909708,0.388895636,-0.2276989,0.558922297,-0.122237808,0.774790972,-0.016220898,0.7741699,0.487500705,-0.063623994,-0.144747536,0.785433791,0.579133319,0.688851964,-0.376561472,0.694140114,0.337522718,0.674296524,0.315217083,0.53485255,-0.362313253,0.782099425,0.14084454,0.505104999,-0.195855562,0.348091179,0.855056436,-0.194034502
% Severe Housing Cost Burden,0.052051794,-0.05347439,-0.091628959,-0.166162869,-0.240080609,0.092036914,0.193312792,0.286711691,0.15216237,-0.070722564,-0.066742625,0.047983366,0.283227442,0.178718081,-0.205235186,0.106228261,0.214542159,-0.057061049,0.484931112,0.484909136,0.181347716,0.476007744,0.30545617,-0.085796913,-0.146179998,-0.138313643,-0.227742415,0.507498974,-0.112578566,0.472302748,0.184954794,0.498396,0.351401053,0.518992781,0.407260915,0.048026096,0.217743509,-0.019277854,-0.018358461,0.309013603,0.188247336,0.294193138,0.290304155,0.377253845,0.250461894,0.364234224,0.379404971,0.430844631,-0.379736223,0.496993517,0.496344204,0.139254332,0.524480991,0.508555008,0.12240219,0.057824693,-0.045340096,0.209933034,0.173419091,-0.065153664,-0.218680831,0.3111244,0.528043349,0.495002693,0.304493806,0.466042122,-0.325467701,0.486173956,0.241736668,0.465609303,-0.245543138,0.487500705,0.637000285,0.81919012,0.029936632,0.102331576,0.036536441,-0.127004219,0.139318807,-0.070036226,0.502124673,0.097986251,0.023601889,0.072257267,0.143727313,0.22019509,0.51590154,-0.058155271,-0.093836489,-0.222703103,-0.183531124,0.592149913,-0.127103253,-0.060117302,-0.015510204,-0.159310168,0.404410271,-0.115138027,0.290909091,-0.006403941,-0.122434018,0.191881153,0.269157808,-0.032987659,0.462652832,0.32501704,0.548506706,0.325792257,0.497664527,0.036589198,0.372113958,-0.138222643,0.392257437,-0.396599063,0.300617561,0.477004572,-0.359698615,0.225994079,-0.367001115,-0.002229711,0.075459643,-0.062270405,-0.048299688,0.107676037,0.251146103,0.347920793,-0.075843661,0.52141038,-0.267456584,0.506570572,-0.350925749,0.639090476,1,-0.027019597,-0.204104922,0.472136197,0.267054859,0.480246019,-0.195339466,0.507392521,0.351205547,0.48394977,0.277875579,0.439147182,-0.07266977,0.471445022,-0.066930616,0.40501527,-0.021395316,0.253339797,0.443813059,-0.348738201
% Alcohol-Impaired,-0.047570687,-0.094562346,0.032231226,-0.168710752,-0.134738139,-0.035121133,0.003820715,0.080119283,0.010697943,0.018276053,0.045447876,-0.060103741,0.019457007,0.100284757,-0.00473258,0.002324887,0.161299709,-0.01604466,0.459047402,0.11729799,1,0.130785044,0.005540567,-0.100133019,-0.096829858,-0.042857703,-0.192333881,0.210206289,-0.107850599,0.164808344,0.073367354,0.198179819,0.118537137,0.250135486,0.160684196,-0.1072202,-0.030239226,-0.074128749,-0.045019947,0.161107644,0.019616124,0.15507402,0.149311194,0.162773768,0.096253114,0.125347849,0.151114992,0.257103878,-0.095577335,0.214243944,0.207390416,0.16742658,0.209695078,0.20939841,0.013725934,-0.084261009,-0.015622896,0.020688549,-0.058443109,-0.005225282,0.011656999,-0.020478476,0.207624418,0.206286792,0.041225414,0.206122543,-0.0998887,0.198122509,0.042931945,0.225404229,-0.105090919,0.166304933,0.083490809,0.157540801,-0.058970333,0.079231883,0.052645074,-0.060772283,0.039553878,-0.005573796,0.208452464,0.116475987,0.045690152,0.047448088,-0.057792768,0.133940386,0.187903265,-0.064993526,-0.010802321,-0.155948313,-0.122578587,0.225718736,-0.248742534,-0.350439883,-0.132959184,-0.250405532,0.337843597,-0.263701662,-0.290909091,-0.142364532,-0.221407625,0.001622119,0.056666128,-0.023724114,0.249078858,0.091573629,0.229082464,0.111536158,0.165903836,-0.095528533,0.333228552,-0.268979628,0.202625882,-0.125071961,0.07844772,0.20667105,-0.140882279,0.080950866,-0.41869799,0.038481839,0.041999586,0.017206704,0.009224774,-0.07871595,0.007702373,0.15433343,-0.196784373,0.117991343,-0.328405764,0.221975053,-0.025530156,0.22206573,0.181347716,0.011796165,-0.062586552,0.25189229,0.190028056,0.238747422,0.06299658,0.194385458,0.094748092,0.148391703,0.024026482,0.169047234,-0.058147607,0.230011667,-0.006159585,0.159691096,-0.048859189,0.161470659,0.189321378,-0.141268483
# Deaths,0.016781833,-0.174445572,-0.404565586,-0.459857996,-0.341728673,-0.193700679,-0.135186481,-0.041408542,0.08409777,-0.217327516,-0.196900383,-0.015730005,0.075821419,0.347136833,-0.126498714,0.109579838,0.238936916,0.308117009,0.855751836,0.874771464,0.187903265,0.924497927,0.261421319,-0.22547772,-0.474217866,-0.333937241,-0.31391956,0.970877953,-0.418124545,0.910083125,0.271357221,0.941611757,0.595695758,0.900714252,0.483079201,0.050531016,0.018133924,-0.027756019,-0.060985739,0.519903507,0.423180479,0.379314916,0.460747661,0.655122932,0.330299076,0.590497699,0.649488135,0.944294551,-0.35490113,0.97416574,0.971950201,0.334674682,0.97664495,0.978515496,0.113983463,-0.315719407,-0.380639664,-0.078489231,-0.143128285,0.342436538,0.249708755,-0.010951354,0.963060724,0.970205122,0.102351005,0.953245208,-0.578641142,0.943692319,0.489336821,0.988948905,-0.402297569,0.778365366,0.45020746,0.587261709,0.066317441,0.075604288,0.17333696,-0.120067043,0.19198746,0.030433299,0.980808482,0.266699641,0.019371055,0.3129014,0.287454106,0.253404746,1,-0.083928869,-0.448733261,-0.506917729,-0.295458769,0.946330374,-0.294358802,-0.556085044,-0.395306122,-0.370443097,0.941949781,-0.168932333,-0.394805195,-0.137931034,-0.208211144,-0.150288478,-0.085183393,-0.109967524,0.905284712,0.371590321,0.989070445,0.308991915,0.855485507,-0.002105022,0.938990217,-0.284366884,0.964316006,-0.627310651,0.276281504,0.955655581,-0.606522611,0.177997113,-0.645723841,0.398908665,0.424253465,0.235892376,0.3111166,-0.163717902,0.301023793,0.425416439,-0.344842214,0.959803411,-0.441868603,0.990254518,-0.288433154,0.978032157,0.51590154,0.167095093,-0.43319639,0.880733636,0.459359197,0.951769361,-0.343609573,0.933951145,0.481417621,0.897585096,0.459823916,0.810932189,-0.188173372,0.943908077,0.003016434,0.75751735,-0.099430397,0.289913138,0.8979412,-0.516266209
% Vaccinated (White),0.000646836,-0.131672083,-0.1709971,-0.527172826,-0.194225642,-0.348222889,-0.246321351,-0.08151256,-0.052155617,-0.107903024,-0.239761979,-0.116966711,-0.019105534,0.134252051,-0.203727825,0.08520819,0.173638663,0.224081974,0.570096184,0.548061168,0.151114992,0.598051738,0.205910624,-0.408090251,-0.276082836,-0.332055665,-0.380610301,0.576207452,-0.361468418,0.605101596,0.298948108,0.623893025,0.494843149,0.609458566,0.464664626,-0.114586347,0.03148803,-0.159959516,-0.164842813,0.621873504,0.326596273,0.3778043,0.561044535,0.984700061,0.685887341,0.788038868,1,0.55742141,-0.120191945,0.582916714,0.570600621,0.393322664,0.58364956,0.596633307,-0.103475279,-0.356887703,-0.17598168,-0.048388203,-0.217794338,0.344807029,0.273749499,-0.058465612,0.573591824,0.565075203,0.08705694,0.59776463,-0.270366804,0.566804648,0.259884271,0.626929829,-0.212044032,0.577577557,0.263906235,0.435801,-0.099691969,-0.013794962,0.157563544,-0.064550432,0.07138013,-0.002432525,0.602749903,0.247060082,0.0794454,0.144205637,0.354441093,0.205188641,0.649488135,-0.092664802,-0.210594633,-0.51912931,-0.190784699,0.515700429,-0.160982728,-0.270787831,-0.347861848,-0.341969539,0.378101577,-0.074637079,0.018301044,-0.30533731,-0.173154359,-0.265946594,-0.122936377,0.041302805,0.574424102,0.295987198,0.625422327,0.358485152,0.497484945,-0.043536798,0.439173354,-0.151012275,0.555220187,-0.399511242,0.05315649,0.562134162,-0.356486124,0.137481819,-0.502714404,0.388210808,0.199885421,0.213693008,0.225714117,-0.214847807,0.215333434,0.430148247,-0.321396895,0.536670172,-0.224322668,0.609723946,-0.163427445,0.624245425,0.379404971,-0.051649479,-0.152337712,0.575279792,0.356419882,0.573320606,-0.26976965,0.562766662,0.324624572,0.536540951,0.240914262,0.414414492,-0.374873708,0.645523503,0.24803537,0.399949617,-0.244756378,0.35097836,0.603811728,-0.196881322
Dentist Rate,-0.045365406,-0.185903135,-0.256142176,-0.310728477,-0.304532825,-0.08443535,-0.064063997,-0.033661289,-0.013292511,-0.013166467,-0.134024167,-0.034072413,-0.020145304,0.15492674,0.031214015,0.053477927,0.396806208,0.20152694,0.539666266,0.564859851,0.118537137,0.509201722,0.179917071,-0.180885119,-0.148822217,-0.126593583,-0.267212666,0.626738368,-0.26406076,0.702538501,0.591937973,0.805618529,1,0.63923964,0.610230035,-0.105943529,-0.062504031,-0.129530636,-0.219436548,0.327110334,0.171270055,0.205590163,0.337091142,0.481630596,0.22713009,0.416823983,0.494843149,0.507797043,-0.295955873,0.640454468,0.625280352,0.270213637,0.616714031,0.639702734,-0.012729161,-0.183004075,-0.162988715,-0.007080249,-0.180043981,0.201102664,0.163488269,-0.065606346,0.617064139,0.622209292,0.09468232,0.681907238,-0.205893186,0.6251606,0.323753685,0.554019545,-0.26733199,0.449740077,0.313369918,0.401307305,0.03193036,-0.045864608,0.035354048,-0.107876231,0.121852777,0.106918214,0.646233948,-0.050207451,0.08765684,0.154906949,0.179238019,0.227181835,0.595695758,-0.106123286,-0.242107763,-0.309090275,-0.278130935,0.462363349,-0.205685227,-0.209677419,-0.044387755,-0.18304448,0.51910662,-0.060256199,-0.04025974,0.261083744,0.061583578,-0.06857715,-0.056299217,-0.127458863,0.445254602,0.101684096,0.641842779,0.189795088,0.576072481,-0.101308831,0.58740338,-0.124097835,0.435468391,-0.418461374,0.151787488,0.619349316,-0.418456505,0.366838556,-0.553448001,0.228252006,0.266459477,0.086050434,0.180750243,-0.040978349,0.211134585,0.223172193,-0.202654533,0.511663133,-0.31324914,0.639501898,-0.340501803,0.636301574,0.351401053,0.01615728,-0.252213189,0.576672865,0.28494774,0.636761919,-0.144001005,0.642021948,0.490948205,0.617071127,0.405167606,0.577253248,-0.075429909,0.658904718,-0.036394742,0.553692496,0.01133984,0.21970045,0.525148656,-0.544166401
% Vaccinated (Black),-0.015681117,-0.084014629,-0.048861419,-0.408886137,-0.030696802,-0.13641789,-0.099576518,-0.007660827,-0.135967672,-0.084865815,-0.316790241,-0.133686964,0.021113987,0.044902276,-0.098812154,0.005396076,0.056131353,0.045610839,0.426400903,0.39632867,0.096253114,0.326038705,0.194864043,-0.220749273,-0.266496741,-0.164451498,-0.19069878,0.329488532,-0.072383696,0.316611189,0.236589575,0.304428728,0.22713009,0.295160224,0.256662235,0.026517542,0.099487373,-0.157996915,0.025976358,0.313180218,0.411333323,0.182089855,0.304679614,0.687317572,1,0.499724694,0.685887341,0.3747532,0.027399452,0.299083679,0.303675107,0.199701128,0.305297682,0.335378739,-0.138576446,-0.215710751,-0.015551679,0.10693336,-0.120366811,0.18313559,0.089977955,0.055748756,0.317773962,0.306057612,-0.007578969,0.323079473,-0.176974897,0.296527861,0.033437153,0.324138784,-0.121952184,0.372144382,0.251243103,0.354079699,-0.036481909,-0.00719106,-0.103996842,-0.129036246,-0.061088137,-0.081754293,0.320501964,0.102498439,0.09513662,0.084129323,0.332544024,0.036608191,0.330299076,-0.111528853,-0.09657898,-0.376853205,-0.104289876,0.369491549,-0.068116859,-0.202574406,-0.218247219,-0.149774654,0.233212114,-0.097028897,-0.047059829,-0.231455818,-0.120817139,-0.096174079,-0.013698734,-0.027748732,0.333633196,0.255404627,0.351918835,0.170937693,0.248865124,-0.069244089,0.315758213,-0.094695128,0.346887494,-0.12916431,0.094517347,0.325895664,-0.087845932,0.116983886,-0.270785386,0.195044128,0.083636043,0.039915561,0.144689092,-0.081174517,0.131237276,0.305947776,-0.152894808,0.325417732,-0.178639932,0.321996759,-0.152449573,0.348148332,0.250461894,0.057932226,-0.152997664,0.370529008,0.198270395,0.298632463,-0.123281485,0.299801534,0.211958452,0.284900505,0.078179865,0.218435899,-0.139501796,0.363222865,0.046285277,0.278377696,0.097873519,0.177718736,0.36017455,-0.091521606
Annual Average Violent Crimes,-0.001863013,-0.22738186,-0.394663357,-0.357793427,-0.331800052,-0.025595679,-0.019032152,-0.009535899,0.158803202,-0.2033273,-0.104880856,0.022325188,0.140250269,0.399497918,-0.002980922,0.076381909,0.312382577,0.287943698,0.83512172,0.862113417,0.198122509,0.928881975,0.367751082,-0.106717317,-0.407390719,-0.16548347,-0.260291332,0.947131606,-0.331571475,0.892424394,0.356774745,0.915225592,0.6251606,0.864991716,0.49519938,0.091734707,0.068070736,0.048799122,-0.058412725,0.388411848,0.349571918,0.348370841,0.374767112,0.552778528,0.296527861,0.521205866,0.566804648,0.911313988,-0.430344354,0.952906998,0.958285784,0.216399998,0.951984787,0.948051285,0.180473268,-0.20347723,-0.341532056,-0.084113068,-0.180133545,0.263640049,0.170610504,0.032895073,0.944916169,0.953363717,0.128215902,0.916409154,-0.512902932,1,0.670722155,0.937909876,-0.442540905,0.689960309,0.464553375,0.553022423,0.17887947,0.015850474,0.196418554,-0.086651273,0.230353949,0.138930066,0.952358652,0.16867875,0.046462093,0.297134164,0.1312622,0.209833134,0.943692319,-0.114353954,-0.400374521,-0.393969155,-0.262070741,0.871810465,-0.366342826,-0.509164223,-0.349183673,-0.399812175,0.928088493,-0.195948253,-0.185714286,-0.071921182,-0.219941349,-0.022631458,-0.033715792,-0.195906297,0.875083458,0.361006327,0.943176171,0.235392969,0.852586976,-0.067021601,0.886653048,-0.313722274,0.910752217,-0.613446882,0.396306359,0.937101578,-0.620295504,0.269459488,-0.627400391,0.29385065,0.400605315,0.201297031,0.325248086,-0.027124531,0.221072875,0.331785873,-0.262850481,0.884305357,-0.480161585,0.944740992,-0.348113681,0.933807993,0.486173956,0.228473271,-0.534868134,0.881244919,0.497798418,0.936035719,-0.261612385,0.929145919,0.563458834,0.887673757,0.489491301,0.870874454,-0.020633202,0.876787334,-0.185683627,0.814574857,0.044026497,0.212547291,0.824224806,-0.63925491
Severe Housing Cost Burden,-0.004401468,-0.135177911,-0.135669727,-0.310792433,-0.284899239,0.035279844,0.147647068,0.263506612,0.0816708,-0.060948017,-0.121302209,-0.036108185,0.285319159,0.153479405,-0.1747732,0.021498062,0.227260678,-0.028757646,0.516570649,0.527712955,0.157540801,0.552817341,0.328338477,-0.16314124,-0.267459938,-0.173162154,-0.30206861,0.584239398,-0.081538643,0.568842678,0.302104023,0.56593518,0.401307305,0.569003936,0.443747462,0.068295468,0.095729347,-0.098269382,-0.007379346,0.351869061,0.280737468,0.266958602,0.333356506,0.429791488,0.354079699,0.409418512,0.435801,0.533506522,-0.352661283,0.56825184,0.563245101,0.184035975,0.580336656,0.581650592,0.04552577,0.005353226,-0.018577724,0.171600965,0.07438411,0.000874728,-0.097536095,0.20909406,0.5863722,0.564732635,0.255374827,0.547944033,-0.331747601,0.553022423,0.268721692,0.521986905,-0.310561927,0.545960964,0.760714963,1,0.026201257,0.062719467,0.029599421,-0.175925926,0.112141956,-0.075760023,0.576612238,0.097480886,0.082381247,0.108806432,0.284379195,0.252692611,0.587261709,-0.118461642,-0.115055133,-0.331736006,-0.246206897,0.601996659,-0.200435883,-0.1521261,-0.08244898,-0.170579698,0.458949865,-0.188811189,0.322077922,-0.025615764,-0.149193548,0.140838175,0.243061995,-0.044052531,0.548897105,0.321431962,0.616710477,0.343102006,0.545158611,-0.001980731,0.49128747,-0.129200991,0.49556531,-0.478189705,0.285531892,0.558712925,-0.328616185,0.264833127,-0.380251632,0.062129126,0.103678665,-0.029573383,0.013855227,0.064294853,0.315191141,0.354229579,-0.141728601,0.523231096,-0.30584701,0.582628574,-0.336191791,0.693603488,0.81919012,0.005066393,-0.235979224,0.520281752,0.284343427,0.556326001,-0.230773737,0.572430323,0.379590884,0.536677381,0.274975674,0.485812398,-0.118901504,0.548815886,-0.028585923,0.459946938,-0.021378677,0.274877761,0.529023841,-0.363823706
Segregation index,0.00468871,-0.121213456,-0.025864341,-0.128900498,-0.115922958,-0.018432678,0.026016196,0.079543506,-0.075628908,-0.150424183,-0.051440509,0.021657361,0.071871915,0.022141937,-0.043225537,0.01762331,0.06289314,0.02205988,0.190972617,0.227906886,0.007702373,0.219370313,-0.084639376,0.013264204,-0.014632521,-0.09724515,-0.027596838,0.318757109,0.041906356,0.302040607,0.118075732,0.3540334,0.211134585,0.254669756,0.169303797,-0.091842493,-0.055200629,-0.131759297,-0.149197531,0.034668387,0.092843911,0.016639352,0.056989566,0.246196556,0.131237276,0.238627388,0.215333434,0.294260913,-0.07978017,0.305950466,0.30822217,0.115817847,0.291236562,0.308170824,-0.048187326,-0.010274774,-0.068178795,-0.068899188,0.090832073,0.054428895,-0.038957149,0.159418442,0.313371745,0.306499761,0.054584181,0.300679945,-0.175468523,0.221072875,-0.059221901,0.291047799,-0.154428432,-0.011909708,0.288326666,0.315191141,0.021157148,0.121635277,-0.102008983,-0.190482888,0.007924466,-0.164476616,0.29144762,-0.022466988,0.09519726,0.045912183,0.049116351,0.128021256,0.301023793,-0.118912185,-0.031267847,-0.124197183,-0.108164641,0.223675134,0.057708983,0.219941349,0.317959184,0.212925809,0.10690357,0.125348336,0.312987013,0.342364532,0.195747801,0.007488493,0.076319583,-0.079563676,0.18661058,-0.013344633,0.279907431,-0.028485251,0.309188417,0.143360148,0.193955667,0.220802654,0.241203286,-0.183892113,0.086654213,0.313263902,-0.063254701,0.101519188,0.152201648,0.076896691,0.078019369,0.004700304,0.025133152,0.015148495,1,0.484334658,-0.093363731,0.143416912,-0.238560715,0.303959561,-0.14697934,0.315593566,0.251146103,0.058234561,-0.109933204,0.046442178,-0.224228321,0.291505633,-0.117718362,0.295600852,0.134672347,0.221600458,-0.001290975,0.257443297,-0.014425372,0.248703246,0.057342246,0.231256261,0.022217484,0.119686091,0.186605078,-0.202563713
# Food Insecure,0.011880868,-0.20541986,-0.452601001,-0.507677831,-0.378840278,-0.157604948,-0.077822104,0.025199612,0.080121456,-0.236247928,-0.237075837,-0.027763912,0.146828391,0.361239232,-0.078885739,0.151569711,0.267802926,0.272378281,0.862253217,0.876031038,0.229082464,0.919822261,0.272247143,-0.260297113,-0.495738579,-0.352983613,-0.336757297,0.970212683,-0.348079639,0.915327754,0.364378681,0.943604964,0.641842779,0.904500551,0.531237553,0.070580707,0.040818382,-0.043883824,-0.044836122,0.481209459,0.427342372,0.384963249,0.472101785,0.616054366,0.351918835,0.551618279,0.625422327,0.93829239,-0.379810541,0.975424832,0.972211314,0.28486696,0.976358806,0.975268146,0.168505996,-0.239667453,-0.365705961,-0.02028072,-0.136427876,0.263407581,0.162083643,0.03657153,0.961494953,0.968555494,0.135217009,0.95672252,-0.49505081,0.943176171,0.45931246,0.979959636,-0.421841869,0.796933089,0.455176333,0.616710477,0.082656578,0.018003501,0.195488397,-0.124027192,0.17167166,0.043589287,0.978328428,0.267789996,0.054069221,0.365709232,0.34140129,0.282324478,0.989070445,-0.123404268,-0.498695793,-0.555963572,-0.331700621,0.941287316,-0.285808443,-0.648093842,-0.479693878,-0.425339367,0.931752863,-0.210966249,-0.446753247,-0.248768473,-0.333944282,-0.092918877,-0.021249941,-0.103948143,0.909247911,0.353001166,1,0.377444751,0.855957754,-0.110379004,0.92931808,-0.334001604,0.955804592,-0.632882847,0.308506036,0.956837028,-0.593093623,0.21440222,-0.70461857,0.312257986,0.406464686,0.177396717,0.25038706,-0.082526856,0.279907431,0.455484003,-0.388607179,0.950190958,-0.464686606,0.986919072,-0.258928455,0.981267693,0.548506706,0.121607542,-0.424255894,0.912251785,0.520998399,0.950337311,-0.315616198,0.941249746,0.537921648,0.899590729,0.473922684,0.812670729,-0.201826837,0.954382892,-0.008749911,0.771082485,-0.069081032,0.309029322,0.915885941,-0.552185877
